"Марка";"Номер";"Модель";"Цоколь";"Цветовая температура";"Потребляемая мощность";"Выдаваемая мощность";"Тип лампы";"Страна производства";"Описание";"Подробное описание";"Частота звучания";"Уровень громкости";"";"Объем, л";"Срок годности";"Тип двигателя";"Область действия";"Состав";"Цвет";"Температура начала кристализации";"Органический/Неорганический/Гибридный";"Тип трансмиссии (МКПП)";"Тип трансмиссии (АКПП/Вариатор)";"ГУР";"Вид масла (минеральное/синтетическое/полусинтетическое)";"Вязкость";"Для бензинового двигателя";"Для дизельного двигателя";"Для легковых автомобилей";"Для грузовых автомобилей";"Для мототехники";"Для спецтехники";"Для водной техники";"Перепускной клапан";"Высота, мм";"Внешний диаметр, мм";"Резьба (винтовой диаметр)"
"IDEMITSU";"10112-042D";"IDEMITSU ATF TYPE-HK";;;;;;;"Жидкость для автоматических коробок передач";"Idemitsu ATF Type-HК представляет собой высококачественный смазочный материал, специально разработанный для применения в автоматических коробках передач легковых автомобилей, внедорожников и легких грузовиков Hyundai и Kia, а также в АКПП автомобилей Mitsubishi, Dodge, Chrysler более ранних годов выпуска, в которых требуется использование жидкости с допуском ATF SP-III.";;;;"0,946л";;;;;;;;;"АКПП";;"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"10107-042F";"ATF TYPE-HP";;;;;;;"Жидкость для автоматических коробок передач";"Idemitsu ATF Type-HP - представляет собой высококачественный смазочный материал, специально разработанный для применения в автоматических коробках передач автомобилей Subaru, где требуется использование жидкости с допуском Subaru ATF Type-HP.";;;;"0,946л";;;;;;;;;"АКПП";;"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"10108-042E";"ATF TYPE-J";;;;;;;"Жидкость для автоматических коробок передач";"Idemitsu ATF Type-J - представляет собой высококачественный смазочный материал, специально разработанный для применения в автоматических коробках передач автомобилей Nissan и Infiniti, где требуется использование жидкости с допуском ATF Type-J. <li>Может использоваться в определенных автомобилях Hyundai, Kia, Mitsubishi, где требуется жидкость с допуском ATF Red-1, для которых указан следующий номер оригинальной запчасти: Hyundai PN: 00232-19024;"Kia PN: UM 040-CH020"; Mitsubishi PN: MZ313771. <li>Полное соответствие спецификации Nissan Matic J, заменяет Matic S, Matic D, Matic K.";;;;"0,946л";;;;;;;;;"АКПП";;"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"10118-042";"IDEMITSU CVT TYPE-N";;;;;;;"Жидкость для вариаторных коробок передач";"Продукт разработан для применения во всех бесступенчатых трансмиссиях Jatco, где требуется жидкость со спецификацией NS-2. Может применяться в старых моделях автомобилей Isuzu и Suzuki, где указана спецификация NS-2. Соответствует спецификациям: NS-2 (для использования в бесступенчатых трансмиссиях Jatco CVT 1, CVT 2, CVT 3, CVT 7).";;;;"0,946л";;;;;;;;;"Вариатор";;"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"30102-052A";"IDEMITSU PSF";;;;;;;"Жидкость для гидроусилителя руля";"Жидкость Idemitsu Premium Power Steering Fluid разработана специально для гидравлических систем усиления рулевого управления легковых автомобилей, внедорожников и легких грузовиков Honda и Acura. Также может применяться в гидравлических системах автомобилей большинства азиатских ОЕМ производителей, таких как Toyota, Lexus, Scion, Nissan, Infiniti, Mazda, Mitsubishi, Subaru, Hyundai-Kia. Не подходит для применения в электрических системах усиления рулевого управления.";;;;"0,354л";;;;;;;;;;"ГУР";"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"2846-042";"Idemitsu Racing 75W-90 GL-5";;;;;;;"Синтетическое трансмиссионное масло.";"Синтетическое масло на основе PAO (ПАО). Возможность применения во всех современных агрегатах трансмиссий, где требуется уровень эксплуатационных свойств GL 5. Рекомендуется для нагруженных типов автомобильных трансмиссий и дифференциалов. Сохраняет текучесть при низких температурах до -45 град. С. Наивысшая степень стойкости к окислению. Предотвращает коррозию. Превосходно обеспечивает защиту поверхностей шестерен от износа в режиме экстремальных контактных нагрузок. API GL-5.";;;;"0,946л";;;;;;;;"МКПП";;;"Синтетическое";"75W-90";;;;;;;;;;;
"IDEMITSU";"2846-021";"Idemitsu Racing 75W-90 GL-5";;;;;;;"Синтетическое трансмиссионное масло.";"Синтетическое масло на основе PAO (ПАО). Возможность применения во всех современных агрегатах трансмиссий, где требуется уровень эксплуатационных свойств GL 5. Рекомендуется для нагруженных типов автомобильных трансмиссий и дифференциалов. Сохраняет текучесть при низких температурах до -45 град. С. Наивысшая степень стойкости к окислению. Предотвращает коррозию. Превосходно обеспечивает защиту поверхностей шестерен от износа в режиме экстремальных контактных нагрузок. API GL-5.";;;;"208л";;;;;;;;"МКПП";;;"Синтетическое";"75W-90";;;;;;;;;;;
"IDEMITSU";"1647-0005";"Zepro PSF";;;;;;;"Жидкость для гидроусилителя руля";"Препятствует коррозии, утечкам через уплотнения, снижает шумность насоса. Не ухудшает состояние сальников и шлангов. Препятствует пенообразованию. Обладает превосходной окислительной стабильностью и увеличенным ресурсом.";;;;"0,5л";;;;;;;;;;"ГУР";"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"1647-020";"Zepro PSF";;;;;;;"Жидкость для гидроусилителя руля";"Препятствует коррозии, утечкам через уплотнения, снижает шумность насоса. Не ухудшает состояние сальников и шлангов. Препятствует пенообразованию. Обладает превосходной окислительной стабильностью и увеличенным ресурсом.";;;;"20л";;;;;;;;;;"ГУР";"Синтетическое";;;;;;;;;;;;
"IDEMITSU";"3583-001";"IDEMITSU Zepro Eco Medalist 0W-20 SN/GF-5";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло высочайших эксплуатационных характеристик класса вязкости 0W-20, используется для первой заливки и рекомендовано большинством японских автопроизводителей для нового поколения бензиновых двигателей, обладающих такими характеристиками как эффективность, экологичность и высокая удельная мощность. API SN, ILSAC GF-5";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"3583-004";"IDEMITSU Zepro Eco Medalist 0W-20 SN/GF-5";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло высочайших эксплуатационных характеристик класса вязкости 0W-20, используется для первой заливки и рекомендовано большинством японских автопроизводителей для нового поколения бензиновых двигателей, обладающих такими характеристиками как эффективность, экологичность и высокая удельная мощность. API SN, ILSAC GF-5";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"3583-020";"IDEMITSU Zepro Eco Medalist 0W-20 SN/GF-5";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло высочайших эксплуатационных характеристик класса вязкости 0W-20, используется для первой заливки и рекомендовано большинством японских автопроизводителей для нового поколения бензиновых двигателей, обладающих такими характеристиками как эффективность, экологичность и высокая удельная мощность. API SN, ILSAC GF-5";;;;"20л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"3583-200";"IDEMITSU Zepro Eco Medalist 0W-20 SN/GF-5";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло высочайших эксплуатационных характеристик класса вязкости 0W-20, используется для первой заливки и рекомендовано большинством японских автопроизводителей для нового поколения бензиновых двигателей, обладающих такими характеристиками как эффективность, экологичность и высокая удельная мощность. API SN, ILSAC GF-5";;;;"200л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"3615-001";"IDEMITSU ZEPRO TOURING PRO 0W30 SN/CF GF-5";;;;;;;"Моторное масло";"Универсальное высокотехнологичное энергосберегающее синтетическое масло, на основе смеси VHVI и PAO, что обеспечивает непревзойденную защиту двигателя от износа и отложений. API SN/CF, ILSAC GF-5";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"3615-004";"IDEMITSU ZEPRO TOURING PRO 0W30 SN/CF GF-5";;;;;;;"Моторное масло";"Универсальное высокотехнологичное энергосберегающее синтетическое масло, на основе смеси VHVI и PAO, что обеспечивает непревзойденную защиту двигателя от износа и отложений. API SN/CF, ILSAC GF-5";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"1845-001";"IDEMITSU Zepro Touring 5W-30 SN/GF-5";;;;;;;"Моторное масло";"Всесезонное синтетическое энергосберегающее моторное масло для современных 4-х тактных бензиновых двигателей, в том числе с турбо наддувом. Данный продукт произведен на основе синтетического базового масла с использованием запатентованной технологии Idemitsu Kosan Co., Ltd, благодаря чему обладает высоким индексом вязкости, превосходными смазывающими характеристиками при высоких температурах и малым сопротивлением проворачиванию в условиях низкотемпературного пуска. Обеспечивает надёжную защиту и топливную экономичность современных двигателей легковых автомобилей, микроавтобусов и внедорожников. API SN, ILSAC GF-5";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"1845-004";"IDEMITSU Zepro Touring 5W-30 SN/GF-5";;;;;;;"Моторное масло";"Всесезонное синтетическое энергосберегающее моторное масло для современных 4-х тактных бензиновых двигателей, в том числе с турбо наддувом. Данный продукт произведен на основе синтетического базового масла с использованием запатентованной технологии Idemitsu Kosan Co., Ltd, благодаря чему обладает высоким индексом вязкости, превосходными смазывающими характеристиками при высоких температурах и малым сопротивлением проворачиванию в условиях низкотемпературного пуска. Обеспечивает надёжную защиту и топливную экономичность современных двигателей легковых автомобилей, микроавтобусов и внедорожников. API SN, ILSAC GF-5";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"1845-020";"IDEMITSU Zepro Touring 5W-30 SN/GF-5";;;;;;;"Моторное масло";"Всесезонное синтетическое энергосберегающее моторное масло для современных 4-х тактных бензиновых двигателей, в том числе с турбо наддувом. Данный продукт произведен на основе синтетического базового масла с использованием запатентованной технологии Idemitsu Kosan Co., Ltd, благодаря чему обладает высоким индексом вязкости, превосходными смазывающими характеристиками при высоких температурах и малым сопротивлением проворачиванию в условиях низкотемпературного пуска. Обеспечивает надёжную защиту и топливную экономичность современных двигателей легковых автомобилей, микроавтобусов и внедорожников. API SN, ILSAC GF-5";;;;"20л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"1845-200";"IDEMITSU Zepro Touring 5W-30 SN/GF-5";;;;;;;"Моторное масло";"Всесезонное синтетическое энергосберегающее моторное масло для современных 4-х тактных бензиновых двигателей, в том числе с турбо наддувом. Данный продукт произведен на основе синтетического базового масла с использованием запатентованной технологии Idemitsu Kosan Co., Ltd, благодаря чему обладает высоким индексом вязкости, превосходными смазывающими характеристиками при высоких температурах и малым сопротивлением проворачиванию в условиях низкотемпературного пуска. Обеспечивает надёжную защиту и топливную экономичность современных двигателей легковых автомобилей, микроавтобусов и внедорожников. API SN, ILSAC GF-5";;;;"200л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"3585-001";"IDEMITSU Zepro Racing 5W-40 SN";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло на основе полиальфаолефинов, разработанное для форсированных бензиновых двигателей. Обеспечивает максимальную защиту деталей двигателя от износа и стабильную смазку при любых режимах работы двигателя. Рекомендовано для мощных двигателей автомобилей европейского и японского производства, в том числе с турбонаддувом.API SN, ACEA A3";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"3585-004";"IDEMITSU Zepro Racing 5W-40 SN";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло на основе полиальфаолефинов, разработанное для форсированных бензиновых двигателей. Обеспечивает максимальную защиту деталей двигателя от износа и стабильную смазку при любых режимах работы двигателя. Рекомендовано для мощных двигателей автомобилей европейского и японского производства, в том числе с турбонаддувом.API SN, ACEA A3";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"3585-020";"IDEMITSU Zepro Racing 5W-40 SN";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло на основе полиальфаолефинов, разработанное для форсированных бензиновых двигателей. Обеспечивает максимальную защиту деталей двигателя от износа и стабильную смазку при любых режимах работы двигателя. Рекомендовано для мощных двигателей автомобилей европейского и японского производства, в том числе с турбонаддувом.API SN, ACEA A3";;;;"20л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"3585-200";"IDEMITSU Zepro Racing 5W-40 SN";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло на основе полиальфаолефинов, разработанное для форсированных бензиновых двигателей. Обеспечивает максимальную защиту деталей двигателя от износа и стабильную смазку при любых режимах работы двигателя. Рекомендовано для мощных двигателей автомобилей европейского и японского производства, в том числе с турбонаддувом.API SN, ACEA A3";;;;"200л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"1849-001";"IDEMITSU Zepro EURO SPEC 5W-40 SN/CF, ACEA A3/B3, A3/B4";;;;;;;"Моторное масло";"Высококачественное синтетическое моторное масло для четырехтактных форсированных бензиновых и дизельных двигателей легковых автомобилей, микроавтобусов, внедорожников, в том числе с турбонаддувом. Idemitsu Zepro EURO SPEC SN/CF 5W-40 произведен на основе синтетического базового масла с использованием запатентованной технологии Idemitsu Kosan Co., Ltd. Данный продукт обладает высокими моющими свойствами, превосходными смазывающими характеристиками при высоких температурах и малым сопротивлением к проворачиванию коленчатого вала двигателя, в условиях низкотемпературного пуска. Обеспечивает надёжную защиту современных двигателей и значительно продлевает ресурс каталитического нейтрализатора и сажевого фильтра легковых автомобилей, микроавтобусов и внедорожников. Одобрено: API SN/CF;"АСЕА А3/В3-10, А3/В4-10";"Porsche A40";"BMW Longlife -01";"MB 229.3, 229.5";"VW 502.00/505.00"";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";"Да;;;;;;;
"IDEMITSU";"1849-004";"IDEMITSU Zepro EURO SPEC 5W-40 SN/CF, ACEA A3/B3, A3/B4";;;;;;;"Моторное масло";"Высококачественное синтетическое моторное масло для четырехтактных форсированных бензиновых и дизельных двигателей легковых автомобилей, микроавтобусов, внедорожников, в том числе с турбонаддувом. Idemitsu Zepro EURO SPEC SN/CF 5W-40 произведен на основе синтетического базового масла с использованием запатентованной технологии Idemitsu Kosan Co., Ltd. Данный продукт обладает высокими моющими свойствами, превосходными смазывающими характеристиками при высоких температурах и малым сопротивлением к проворачиванию коленчатого вала двигателя, в условиях низкотемпературного пуска. Обеспечивает надёжную защиту современных двигателей и значительно продлевает ресурс каталитического нейтрализатора и сажевого фильтра легковых автомобилей, микроавтобусов и внедорожников. Одобрено: API SN/CF;"АСЕА А3/В3-10, А3/В4-10";"Porsche A40";"BMW Longlife -01";"MB 229.3, 229.5";"VW 502.00/505.00"";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";"Да;;;;;;;
"IDEMITSU";"1849-020";"IDEMITSU Zepro EURO SPEC 5W-40 SN/CF, ACEA A3/B3, A3/B4";;;;;;;"Моторное масло";"Высококачественное синтетическое моторное масло для четырехтактных форсированных бензиновых и дизельных двигателей легковых автомобилей, микроавтобусов, внедорожников, в том числе с турбонаддувом. Idemitsu Zepro EURO SPEC SN/CF 5W-40 произведен на основе синтетического базового масла с использованием запатентованной технологии Idemitsu Kosan Co., Ltd. Данный продукт обладает высокими моющими свойствами, превосходными смазывающими характеристиками при высоких температурах и малым сопротивлением к проворачиванию коленчатого вала двигателя, в условиях низкотемпературного пуска. Обеспечивает надёжную защиту современных двигателей и значительно продлевает ресурс каталитического нейтрализатора и сажевого фильтра легковых автомобилей, микроавтобусов и внедорожников. Одобрено: API SN/CF;"АСЕА А3/В3-10, А3/В4-10";"Porsche A40";"BMW Longlife -01";"MB 229.3, 229.5";"VW 502.00/505.00"";;;;"20л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";"Да;;;;;;;
"IDEMITSU";"1849-200";"IDEMITSU Zepro EURO SPEC 5W-40 SN/CF, ACEA A3/B3, A3/B4";;;;;;;"Моторное масло";"Высококачественное синтетическое моторное масло для четырехтактных форсированных бензиновых и дизельных двигателей легковых автомобилей, микроавтобусов, внедорожников, в том числе с турбонаддувом. Idemitsu Zepro EURO SPEC SN/CF 5W-40 произведен на основе синтетического базового масла с использованием запатентованной технологии Idemitsu Kosan Co., Ltd. Данный продукт обладает высокими моющими свойствами, превосходными смазывающими характеристиками при высоких температурах и малым сопротивлением к проворачиванию коленчатого вала двигателя, в условиях низкотемпературного пуска. Обеспечивает надёжную защиту современных двигателей и значительно продлевает ресурс каталитического нейтрализатора и сажевого фильтра легковых автомобилей, микроавтобусов и внедорожников. Одобрено: API SN/CF;"АСЕА А3/В3-10, А3/В4-10";"Porsche A40";"BMW Longlife -01";"MB 229.3, 229.5";"VW 502.00/505.00"";;;;"200л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";"Да;;;;;;;
"IDEMITSU";"2156-001";"IDEMITSU Zepro Diesel 5W-30 DL-1, ACEA C2-08";;;;;;;"Моторное масло";"Энергосберегающее моторное масло для дизельных двигателей легковых автомобилей и внедорожников. Рекомендовано к применению в современных автомобилях с дизельными двигателями, оборудованными сажевым фильтром DPF. Данный продукт произведен на основе высокоочищенного базового масла и специального пакета присадок, характеризующегося низкой зольностью. Не рекомендуется применять, если используемое дизельное топливо имеет высокое содержание серы (более чем 0,005% массы). Обеспечивает уверенный пуск двигателя при низких температурах до - 35°C. JASO DL-1;"ACEA C2-08"";;;;"1л";;;;;;;;;;;"Полусинтетика";;;"Да";"Да;;;;;;;;
"IDEMITSU";"2156-004";"IDEMITSU Zepro Diesel 5W-30 DL-1, ACEA C2-08";;;;;;;"Моторное масло";"Высококачественное моторное масло для четырехтактных дизельных двигателей легковых автомобилей и внедорожников. Рекомендовано к применению в современных автомобилях с дизельными двигателями, оборудованными сажевым фильтром DPF. Данный продукт произведен на основе высокоочищенного базового масла и специального пакета присадок, характеризующегося низкой зольностью. Не рекомендуется применять, если используемое дизельное топливо имеет высокое содержание серы (более чем 0,005% массы). Обеспечивает уверенный пуск двигателя при низких температурах до - 35°C. JASO DL-1;"ACEA C2-08"";;;;"4л";;;;;;;;;;;"Полусинтетика";;;"Да";"Да;;;;;;;;
"IDEMITSU";"2156-020";"IDEMITSU Zepro Diesel 5W-30 DL-1, ACEA C2-08";;;;;;;"Моторное масло";"Высококачественное моторное масло для четырехтактных дизельных двигателей легковых автомобилей и внедорожников. Рекомендовано к применению в современных автомобилях с дизельными двигателями, оборудованными сажевым фильтром DPF. Данный продукт произведен на основе высокоочищенного базового масла и специального пакета присадок, характеризующегося низкой зольностью. Не рекомендуется применять, если используемое дизельное топливо имеет высокое содержание серы (более чем 0,005% массы). Обеспечивает уверенный пуск двигателя при низких температурах до - 35°C. JASO DL-1;"ACEA C2-08"";;;;"20л";;;;;;;;;;;"Полусинтетика";;;"Да";"Да;;;;;;;;
"IDEMITSU";"2156-200";"IDEMITSU Zepro Diesel 5W-30 DL-1, ACEA C2-08";;;;;;;"Моторное масло";"Высококачественное моторное масло для четырехтактных дизельных двигателей легковых автомобилей и внедорожников. Рекомендовано к применению в современных автомобилях с дизельными двигателями, оборудованными сажевым фильтром DPF. Данный продукт произведен на основе высокоочищенного базового масла и специального пакета присадок, характеризующегося низкой зольностью. Не рекомендуется применять, если используемое дизельное топливо имеет высокое содержание серы (более чем 0,005% массы). Обеспечивает уверенный пуск двигателя при низких температурах до - 35°C. JASO DL-1;"ACEA C2-08"";;;;"200л";;;;;;;;;;;"Полусинтетика";;;"Да";"Да;;;;;;;;
"IDEMITSU";"2862-001";"IDEMITSU Zepro Diesel 10W-30 DH-1/CF";;;;;;;"Моторное масло";"Всесезонное моторное масло. Разработано для современных легковых автомобилей, микроавтобусов, легких коммерческих автомобилей с дизельным двигателем (API CF), для тяжелых коммерческих автомобилей (JASO DH-1), в том числе оборудованых системой EGR. Рекомендуется для дизельных двигателей при применении топлива с высоким содержанием серы 0,05% (500 ppm). Защищает двигатель в широком диапазоне нагрузок и температур. Эффективно препятствует образованию отложений. Низкое сопротивление проворачиванию и отличная прокачиваемость в условиях холодного пуска двигателя. API CF;"JASO DH-1"";;;;"1л";;;;;;;;;;;"Минеральное";;;"Да";"Да;;;;;;;;
"IDEMITSU";"2862-004";"IDEMITSU Zepro Diesel 10W-30 DH-1/CF";;;;;;;"Моторное масло";"Всесезонное моторное масло. Разработано для современных легковых автомобилей, микроавтобусов, легких коммерческих автомобилей с дизельным двигателем (API CF), для тяжелых коммерческих автомобилей (JASO DH-1), в том числе оборудованых системой EGR. Рекомендуется для дизельных двигателей при применении топлива с высоким содержанием серы 0,05% (500 ppm). Защищает двигатель в широком диапазоне нагрузок и температур. Эффективно препятствует образованию отложений. Низкое сопротивление проворачиванию и отличная прокачиваемость в условиях холодного пуска двигателя. API CF;"JASO DH-1"";;;;"4л";;;;;;;;;;;"Минеральное";;;"Да";"Да;;;;;;;;
"IDEMITSU";"2573-020";"Apolloil Multi Runner(Zepro Diesel) 10W-30 DH-1/СF-4";;;;;;;"Моторное масло";"Высококачественное всесезонное моторное масло для дизельных двигателей, оборудованных системой EGR. Основанное на высокоочищенном базовом масле (высокий индекс вязкости) для высокооборотистытых дизельных двигателей, в том числе с турбонадддувом (грузовиков, автобусов, строительной техники и индустриальных дизельных двигателей). API CF-4;"JASO DH-1"";;;;"20л";;;;;;;;;;;"Минеральное";;;"Да";;"Да";;"Да";;;;;
"IDEMITSU";"2573-200";"Apolloil Multi Runner(Zepro Diesel) 10W-30 DH-1/СF-4";;;;;;;"Моторное масло";"Высококачественное всесезонное моторное масло для дизельных двигателей, оборудованных системой EGR. Основанное на высокоочищенном базовом масле (высокий индекс вязкости) для высокооборотистытых дизельных двигателей, в том числе с турбонадддувом (грузовиков, автобусов, строительной техники и индустриальных дизельных двигателей). API CF-4;"JASO DH-1"";;;;"200л";;;;;;;;;;;"Минеральное";;;"Да";;"Да";;"Да";;;;;
"IDEMITSU";"2863-001";"IDEMITSU Zepro Diesel 5W-40 CF";;;;;;;"Моторное масло";"100% синтетическое моторное масло на основе ПАО (ПолиАльфаОлефинов), разработанное для дизельных двигателей. Рекомендуется для всех типов современных легковых автомобилей, микроавтобусов, внедорожников, легких коммерческих автомобилей, а также дизельных двигателей европейских автомобилей с турбонаддувом. Превосходно защищает двигатель в широком диапазоне нагрузок и температур. Обладает увеличенным сроком службы, непревзойденной защитой двигателя при любых условиях эксплуатации. Не замерзает в любые морозы. API CF";;;;"1л";;;;;;;;;;;"Синтетическое";;;"Да";Да;"Да";;;;;;;
"IDEMITSU";"2863-004";"IDEMITSU Zepro Diesel 5W-40 CF";;;;;;;"Моторное масло";"100% синтетическое моторное масло на основе ПАО (ПолиАльфаОлефинов), разработанное для дизельных двигателей. Рекомендуется для всех типов современных легковых автомобилей, микроавтобусов, внедорожников, легких коммерческих автомобилей, а также дизельных двигателей европейских автомобилей с турбонаддувом. Превосходно защищает двигатель в широком диапазоне нагрузок и температур. Обладает увеличенным сроком службы, непревзойденной защитой двигателя при любых условиях эксплуатации. Не замерзает в любые морозы. API CF";;;;"4л";;;;;;;;;;;"Синтетическое";;;"Да";Да;"Да";;;;;;;
"IDEMITSU";"2863-020";"IDEMITSU Zepro Diesel 5W-40 CF";;;;;;;"Моторное масло";"100% синтетическое моторное масло на основе ПАО (ПолиАльфаОлефинов), разработанное для дизельных двигателей. Рекомендуется для всех типов современных легковых автомобилей, микроавтобусов, внедорожников, легких коммерческих автомобилей, а также дизельных двигателей европейских автомобилей с турбонаддувом. Превосходно защищает двигатель в широком диапазоне нагрузок и температур. Обладает увеличенным сроком службы, непревзойденной защитой двигателя при любых условиях эксплуатации. Не замерзает в любые морозы. API CF";;;;"20л";;;;;;;;;;;"Синтетическое";;;"Да";Да;"Да";;;;;;;
"IDEMITSU";"2863-200";"IDEMITSU Zepro Diesel 5W-40 CF";;;;;;;"Моторное масло";"100% синтетическое моторное масло на основе ПАО (ПолиАльфаОлефинов), разработанное для дизельных двигателей. Рекомендуется для всех типов современных легковых автомобилей, микроавтобусов, внедорожников, легких коммерческих автомобилей, а также дизельных двигателей европейских автомобилей с турбонаддувом. Превосходно защищает двигатель в широком диапазоне нагрузок и температур. Обладает увеличенным сроком службы, непревзойденной защитой двигателя при любых условиях эксплуатации. Не замерзает в любые морозы. API CF";;;;"200л";;;;;;;;;;;"Синтетическое";;;"Да";Да;"Да";;;;;;;
"IDEMITSU";"4268-020";"IDEMITSU Apolloil Clean Runner 5W-30 DH-2/СJ-4";;;;;;;"Моторное масло";"Высококачественное всесезонное топливосберегающее моторное масло для мощных дизельных двигателей, оборудованных системой EGR и сажевым фильтром (DPF), где регламентировано использование дизельного топлива уровня не ниже Евро 4 (содержание серы 50 ррм). Подходит для всех современных среднетоннажных, крупнотоннажных и магистральных грузовиков, и автобусов. API СI-4, СJ -4, JASO DH-2, SAE 5W-30";;;;"20л";;;;;;;;;;;"Синтетическое";;;"Да";;"Да";;"Да";;;;;
"IDEMITSU";"4268-200";"IDEMITSU Apolloil Clean Runner 5W-30 DH-2/СJ-4";;;;;;;"Моторное масло";"Высококачественное всесезонное топливосберегающее моторное масло для мощных дизельных двигателей, оборудованных системой EGR и сажевым фильтром (DPF), где регламентировано использование дизельного топлива уровня не ниже Евро 4 (содержание серы 50 ррм). Подходит для всех современных среднетоннажных, крупнотоннажных и магистральных грузовиков, и автобусов. API СI-4, СJ -4, JASO DH-2, SAE 5W-30";;;;"200л";;;;;;;;;;;"Синтетическое";;;"Да";;"Да";;"Да";;;;;
"IDEMITSU";"4336-020";"Apolloil EX 10W40 DH-2/СJ-4";;;;;;;"Моторное масло";"Всесезонное моторное масло премиального класса для мощных дизельных двигателей на основе смеси химически синтезированного (РАО) компонента и высокоочищенного минерального базового масла. Относится к продуктам уровня Low SAPS и содержит высокоэффективную моющую присадку, обладающую отличной дисперсией к саже. Рекомендуется для всех типов современных дизельных двигателей, оборудованных системой EGR и DPF, где используется дизельное топливо уровня не ниже Евро 4 (содержание серы 50 ррм). Относится к категории энергосберегающих масел нового поколения. API СI-4, СJ-4, JASO DH-2, SAE 10W-40";;;;"20л";;;;;;;;;;;"Синтетическое";;;"Да";;"Да";;"Да";;;;;
"IDEMITSU";"4336-200";"Apolloil EX 10W40 DH-2/СJ-4";;;;;;;"Моторное масло";"Всесезонное моторное масло премиального класса для мощных дизельных двигателей на основе смеси химически синтезированного (РАО) компонента и высокоочищенного минерального базового масла. Относится к продуктам уровня Low SAPS и содержит высокоэффективную моющую присадку, обладающую отличной дисперсией к саже. Рекомендуется для всех типов современных дизельных двигателей, оборудованных системой EGR и DPF, где используется дизельное топливо уровня не ниже Евро 4 (содержание серы 50 ррм). Относится к категории энергосберегающих масел нового поколения. API СI-4, СJ-4, JASO DH-2, SAE 10W-40";;;;"200л";;;;;;;;;;;"Синтетическое";;;"Да";;"Да";;"Да";;;;;
